,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
14046,37,blue-collar,single,secondary,no,1672,yes,no,cellular,11,jul,484,1,-1,0,,no
38302,32,services,single,secondary,no,-341,no,no,cellular,15,may,339,1,345,3,failure,no
7867,36,technician,divorced,secondary,no,1285,no,no,,30,may,230,2,-1,0,,no
27832,41,management,married,tertiary,no,102,no,no,cellular,28,jan,244,1,-1,0,,no
18929,37,technician,single,secondary,no,0,no,no,cellular,4,aug,69,2,-1,0,,no
13403,53,management,married,tertiary,no,0,yes,no,cellular,9,jul,296,1,-1,0,,no
417,43,unemployed,married,secondary,no,0,yes,no,,6,may,245,1,-1,0,,no
12019,59,blue-collar,married,primary,no,2814,no,no,,20,jun,81,3,-1,0,,no
41762,31,admin.,married,tertiary,no,80,yes,yes,cellular,13,oct,63,1,-1,0,,no
18620,39,entrepreneur,married,tertiary,no,0,no,no,cellular,31,jul,70,3,-1,0,,no
19521,58,retired,divorced,secondary,no,312,no,no,cellular,7,aug,398,2,-1,0,,no
34230,52,unemployed,married,secondary,no,94,no,no,cellular,4,may,223,9,4,1,success,no
7401,36,management,single,tertiary,no,891,yes,no,,29,may,233,5,-1,0,,no
4318,36,technician,divorced,secondary,no,141,yes,no,,19,may,165,5,-1,0,,no
28006,47,blue-collar,married,primary,no,1236,no,no,cellular,28,jan,163,1,-1,0,,no
11543,52,retired,married,secondary,no,1282,no,no,,19,jun,148,5,-1,0,,no
2999,41,blue-collar,married,primary,no,7735,yes,no,,14,may,240,1,-1,0,,no
1868,27,technician,single,secondary,no,527,yes,no,,9,may,118,1,-1,0,,no
24667,45,entrepreneur,married,tertiary,no,1503,no,no,cellular,17,nov,212,3,-1,0,,no
605,39,blue-collar,married,secondary,no,285,yes,yes,,6,may,209,1,-1,0,,no
6056,48,blue-collar,married,secondary,no,1631,yes,no,,26,may,51,5,-1,0,,no
12209,36,blue-collar,married,secondary,no,873,yes,no,,20,jun,44,3,-1,0,,no
3935,44,blue-collar,married,tertiary,no,2185,yes,no,,16,may,698,1,-1,0,,no
1621,35,technician,married,secondary,no,19,yes,no,,9,may,130,2,-1,0,,no
5815,28,management,married,tertiary,no,102,yes,no,,26,may,314,2,-1,0,,no
30179,35,blue-collar,married,secondary,no,-151,yes,no,cellular,5,feb,96,2,-1,0,,no
22326,33,technician,single,tertiary,no,516,no,no,cellular,22,aug,76,7,-1,0,,no
14720,58,retired,married,secondary,no,19,no,yes,cellular,15,jul,106,3,-1,0,,no
27602,37,management,single,tertiary,no,22125,no,yes,cellular,21,nov,331,2,-1,0,,yes
15897,51,admin.,married,secondary,no,907,yes,no,telephone,21,jul,722,3,-1,0,,no
28766,56,unemployed,married,secondary,no,670,no,no,cellular,30,jan,86,1,-1,0,,no
34985,35,management,single,tertiary,no,1494,yes,no,cellular,6,may,311,1,169,2,success,no
3520,43,housemaid,married,primary,no,18,yes,yes,,15,may,192,3,-1,0,,no
44544,55,,married,secondary,no,2206,no,no,cellular,12,aug,265,1,91,5,success,yes
37676,37,admin.,divorced,secondary,no,0,yes,yes,cellular,14,may,17,7,-1,0,,no
1828,27,blue-collar,single,secondary,no,45,yes,no,,9,may,352,1,-1,0,,no
19659,46,technician,married,secondary,no,2098,no,no,cellular,7,aug,110,2,-1,0,,no
1608,44,management,married,secondary,no,576,yes,no,,8,may,128,3,-1,0,,no
8496,35,blue-collar,married,secondary,no,11,no,no,,3,jun,32,3,-1,0,,no
31964,39,services,divorced,secondary,no,0,yes,no,cellular,13,apr,1006,2,-1,0,,yes
42111,35,self-employed,single,tertiary,no,5462,no,no,cellular,2,nov,188,1,186,1,success,yes
28467,28,technician,single,secondary,no,250,no,yes,cellular,29,jan,133,1,-1,0,,no
14884,32,management,divorced,tertiary,no,219,yes,no,cellular,16,jul,111,1,-1,0,,no
33230,45,technician,married,secondary,no,497,yes,no,cellular,20,apr,72,1,321,2,failure,no
42962,39,blue-collar,single,tertiary,no,172,yes,no,cellular,9,feb,125,2,183,2,failure,yes
40200,31,technician,single,tertiary,no,252,no,no,cellular,8,jun,107,3,-1,0,,yes
1532,35,blue-collar,married,primary,no,105,yes,no,,8,may,369,2,-1,0,,no
10344,55,entrepreneur,married,secondary,no,113,yes,no,,12,jun,186,1,-1,0,,no
12000,47,entrepreneur,married,tertiary,no,1855,no,no,,20,jun,129,3,-1,0,,no
4734,38,blue-collar,married,primary,no,0,yes,yes,,20,may,165,2,-1,0,,no
34759,23,admin.,single,secondary,no,589,yes,no,cellular,6,may,62,1,-1,0,,no
44683,32,technician,single,secondary,no,260,yes,no,,5,sep,13,1,656,7,other,no
9436,60,self-employed,married,secondary,no,0,no,no,,6,jun,97,1,-1,0,,no
38213,28,blue-collar,married,secondary,no,4,yes,no,cellular,15,may,310,1,-1,0,,no
37720,37,blue-collar,married,,no,969,yes,no,cellular,14,may,343,2,-1,0,,no
31905,42,entrepreneur,married,secondary,no,0,yes,no,cellular,9,apr,331,1,140,4,failure,yes
39002,30,technician,married,secondary,no,-146,yes,yes,cellular,18,may,167,1,-1,0,,no
22883,45,technician,married,tertiary,no,285,no,no,cellular,25,aug,202,7,-1,0,,no
41355,63,retired,married,secondary,no,243,no,no,cellular,31,aug,114,1,-1,0,,no
29137,39,technician,married,tertiary,no,794,no,no,telephone,2,feb,182,1,-1,0,,no
23633,30,management,single,tertiary,no,17,no,no,cellular,28,aug,95,6,-1,0,,no
31358,31,technician,married,secondary,no,180,no,no,cellular,17,mar,299,2,-1,0,,yes
20961,58,admin.,married,secondary,no,855,no,no,cellular,14,aug,81,2,-1,0,,no
10821,36,self-employed,single,secondary,no,652,no,no,,17,jun,187,1,-1,0,,no
9945,48,technician,married,secondary,no,5,no,no,,9,jun,65,6,-1,0,,no
7511,46,entrepreneur,married,primary,no,171,yes,no,,29,may,52,3,-1,0,,no
36865,36,services,single,secondary,no,0,yes,no,cellular,12,may,398,6,-1,0,,yes
4794,38,services,married,secondary,no,-224,yes,yes,,21,may,222,1,-1,0,,no
32844,33,blue-collar,married,secondary,no,2254,yes,no,cellular,17,apr,130,1,148,1,failure,no
31902,48,services,divorced,secondary,no,3186,no,yes,cellular,9,apr,104,1,-1,0,,no
9683,40,admin.,married,secondary,no,3234,no,no,,6,jun,82,1,-1,0,,no
530,44,blue-collar,married,primary,no,213,no,no,,6,may,158,1,-1,0,,no
15985,37,blue-collar,single,primary,no,0,yes,yes,cellular,22,jul,118,1,-1,0,,no
30514,27,student,single,,no,2183,no,no,cellular,5,feb,219,3,-1,0,,no
3196,52,technician,divorced,primary,no,1500,no,no,,15,may,148,3,-1,0,,no
5643,32,admin.,married,secondary,no,41,yes,yes,,26,may,117,2,-1,0,,no
14090,28,management,married,tertiary,no,17,yes,no,cellular,11,jul,16,2,-1,0,,no
14073,60,services,divorced,primary,no,58,no,yes,cellular,11,jul,165,2,-1,0,,no
23528,47,technician,divorced,secondary,no,-105,no,no,telephone,28,aug,192,2,-1,0,,no
34131,34,management,married,tertiary,no,-308,yes,no,cellular,30,apr,140,2,-1,0,,no
2927,43,blue-collar,divorced,secondary,no,16,yes,no,,14,may,485,2,-1,0,,no
9396,38,admin.,single,secondary,no,3823,no,no,,6,jun,81,5,-1,0,,no
6638,31,technician,single,secondary,no,55,no,no,,28,may,350,1,-1,0,,no
32395,35,management,married,tertiary,no,1473,yes,yes,cellular,16,apr,176,3,-1,0,,no
18496,41,unemployed,married,secondary,no,0,no,no,cellular,31,jul,847,14,-1,0,,no
10348,40,admin.,married,secondary,no,2082,no,no,,12,jun,82,1,-1,0,,no
20255,45,technician,married,tertiary,no,548,no,no,cellular,11,aug,108,4,-1,0,,no
40826,29,management,single,tertiary,no,630,no,no,cellular,11,aug,94,3,-1,0,,no
14706,38,technician,married,secondary,no,0,yes,yes,cellular,15,jul,146,4,-1,0,,no
4974,27,services,married,secondary,no,1303,yes,yes,,21,may,364,1,-1,0,,no
32036,40,technician,married,tertiary,no,1641,yes,no,cellular,14,apr,855,1,-1,0,,no
15859,41,services,married,secondary,no,6687,yes,no,cellular,21,jul,91,3,-1,0,,no
38181,34,technician,married,secondary,no,580,yes,no,cellular,15,may,88,1,-1,0,,no
5142,31,services,single,secondary,no,629,yes,no,,21,may,369,2,-1,0,,no
25313,51,management,married,tertiary,no,974,no,no,cellular,18,nov,58,1,-1,0,,no
42984,70,retired,married,primary,no,579,no,no,cellular,11,feb,82,2,181,1,failure,no
35466,35,blue-collar,single,secondary,no,142,yes,no,cellular,7,may,266,2,168,1,failure,no
9731,43,services,married,secondary,no,861,yes,no,,9,jun,78,1,-1,0,,no
15088,31,blue-collar,single,primary,no,528,yes,no,cellular,17,jul,143,1,-1,0,,no
5062,36,admin.,divorced,secondary,no,775,yes,no,,21,may,65,3,-1,0,,no
33361,44,technician,divorced,secondary,no,-865,yes,no,cellular,20,apr,334,1,-1,0,,no
34542,25,technician,single,secondary,no,1833,yes,no,cellular,5,may,323,2,-1,0,,no
910,51,blue-collar,married,,no,37,yes,no,,7,may,256,6,-1,0,,no
37749,34,blue-collar,single,secondary,no,1351,yes,no,cellular,14,may,334,2,-1,0,,no
39206,34,blue-collar,single,primary,no,4723,yes,no,cellular,18,may,350,3,-1,0,,no
28434,40,blue-collar,divorced,primary,no,4168,yes,no,cellular,29,jan,91,1,223,3,failure,no
25795,55,technician,married,primary,no,938,no,yes,cellular,19,nov,742,1,-1,0,,no
18056,55,management,single,secondary,no,1507,yes,no,cellular,30,jul,114,3,-1,0,,no
44248,24,admin.,single,secondary,no,1055,no,no,cellular,21,jul,338,1,-1,0,,no
9556,38,services,divorced,secondary,no,792,no,no,,6,jun,430,1,-1,0,,no
12111,50,retired,divorced,secondary,no,4861,no,no,,20,jun,61,3,-1,0,,no
7279,55,services,divorced,secondary,no,218,yes,no,,29,may,200,2,-1,0,,no
24588,41,management,married,tertiary,no,20,yes,no,cellular,17,nov,99,1,151,2,failure,no
14664,60,management,married,primary,no,0,yes,no,cellular,15,jul,111,8,-1,0,,no
14044,38,technician,single,secondary,no,1932,yes,no,cellular,11,jul,159,1,-1,0,,no
27774,30,management,single,tertiary,no,464,no,no,cellular,28,jan,80,1,-1,0,,no
37428,37,services,married,secondary,no,1328,yes,no,telephone,13,may,121,2,341,4,failure,no
18429,43,blue-collar,married,primary,no,2105,yes,no,cellular,31,jul,36,2,-1,0,,no
27926,50,management,divorced,tertiary,no,1349,yes,yes,cellular,28,jan,326,1,-1,0,,no
2669,30,housemaid,single,secondary,no,49,yes,no,,13,may,267,2,-1,0,,no
33494,34,technician,single,secondary,no,1477,yes,no,cellular,20,apr,233,3,-1,0,,no
3393,55,blue-collar,married,secondary,no,1328,yes,no,,15,may,100,1,-1,0,,no
28692,26,services,single,secondary,no,49,no,no,cellular,30,jan,397,1,-1,0,,no
11171,37,management,married,tertiary,no,11265,no,no,,18,jun,417,1,-1,0,,no
22289,34,technician,married,secondary,no,22,no,no,cellular,21,aug,270,3,-1,0,,no
9582,40,admin.,married,secondary,no,2199,no,no,,6,jun,38,3,-1,0,,no
14137,56,entrepreneur,married,tertiary,no,40,no,yes,cellular,11,jul,123,2,-1,0,,no
31286,32,self-employed,married,secondary,no,409,no,no,cellular,9,mar,217,2,-1,0,,yes
20437,41,technician,single,secondary,no,297,no,yes,cellular,12,aug,140,2,-1,0,,no
2786,34,technician,single,secondary,no,302,yes,no,,14,may,282,1,-1,0,,no
17317,28,admin.,single,tertiary,no,1104,yes,no,cellular,28,jul,73,7,-1,0,,no
33019,35,blue-collar,married,secondary,no,1207,yes,no,cellular,17,apr,694,2,331,1,success,no
16966,29,blue-collar,married,primary,no,410,no,yes,telephone,25,jul,297,2,-1,0,,no
14945,32,admin.,single,secondary,no,116,no,yes,cellular,16,jul,255,2,-1,0,,no
21270,39,management,single,tertiary,no,1914,no,no,cellular,18,aug,94,4,-1,0,,no
16243,50,blue-collar,married,primary,no,0,yes,no,cellular,23,jul,137,1,-1,0,,no
11888,42,blue-collar,married,primary,no,161,yes,no,,20,jun,365,3,-1,0,,no
11554,56,technician,married,secondary,no,2558,no,no,,19,jun,288,1,-1,0,,no
17628,50,admin.,married,secondary,no,176,no,no,cellular,29,jul,155,2,-1,0,,no
30145,32,management,married,tertiary,no,1230,yes,no,cellular,4,feb,35,3,253,4,failure,no
1771,31,services,divorced,secondary,no,1656,yes,no,,9,may,208,3,-1,0,,no
38819,36,admin.,single,secondary,no,507,yes,no,cellular,18,may,264,1,300,2,success,no
45154,63,retired,married,primary,no,3738,no,no,telephone,9,nov,301,1,456,4,failure,no
41356,49,self-employed,married,tertiary,no,99,yes,yes,cellular,31,aug,83,1,-1,0,,no
37888,29,services,married,secondary,no,1002,yes,no,cellular,14,may,50,2,-1,0,,no
6366,32,blue-collar,married,primary,yes,-275,yes,yes,,27,may,321,1,-1,0,,no
2758,50,admin.,married,secondary,no,1917,yes,no,,14,may,200,2,-1,0,,no
31598,46,services,divorced,secondary,no,350,yes,no,cellular,3,apr,230,1,-1,0,,no
18063,46,admin.,divorced,tertiary,no,-363,no,yes,cellular,30,jul,96,11,-1,0,,no
12359,32,admin.,divorced,secondary,no,-241,no,yes,,27,jun,856,2,-1,0,,yes
6078,38,entrepreneur,single,tertiary,no,-281,yes,no,,27,may,85,16,-1,0,,no
44978,58,admin.,married,secondary,no,3927,no,no,cellular,11,oct,124,3,363,1,failure,no
23652,32,technician,single,tertiary,no,8047,yes,no,cellular,28,aug,16,13,-1,0,,no
4790,42,blue-collar,married,primary,no,714,yes,no,,21,may,18,28,-1,0,,no
9751,41,admin.,married,secondary,no,176,no,no,,9,jun,196,1,-1,0,,no
38989,31,admin.,single,secondary,no,1374,yes,no,cellular,18,may,290,2,370,1,failure,no
2918,43,unemployed,single,primary,no,698,yes,no,,14,may,322,1,-1,0,,no
11378,57,retired,single,secondary,no,630,no,no,,19,jun,276,1,-1,0,,no
44953,38,admin.,married,secondary,no,5270,no,no,cellular,8,oct,163,1,91,12,other,no
17969,44,management,married,secondary,no,488,no,yes,cellular,30,jul,292,11,-1,0,,no
43697,40,admin.,married,secondary,no,260,yes,no,cellular,13,may,306,1,181,5,success,yes
35521,33,blue-collar,married,primary,no,50,yes,no,cellular,7,may,246,2,-1,0,,no
21362,50,blue-collar,married,primary,no,9202,no,no,cellular,18,aug,204,7,-1,0,,no
10825,43,management,married,tertiary,no,439,no,no,,17,jun,71,1,-1,0,,no
27722,32,management,single,tertiary,no,2223,no,no,,9,dec,10,1,-1,0,,no
41950,55,services,married,secondary,no,0,no,no,cellular,22,oct,102,1,106,1,failure,no
19631,60,services,married,tertiary,no,6557,no,no,cellular,7,aug,214,2,-1,0,,no
20493,41,management,married,tertiary,no,2781,yes,no,cellular,12,aug,95,2,-1,0,,no
22202,33,management,divorced,tertiary,no,433,no,no,cellular,21,aug,575,4,-1,0,,no
15325,30,management,divorced,tertiary,no,106,yes,no,cellular,18,jul,149,1,-1,0,,no
2659,31,blue-collar,married,secondary,no,822,yes,no,,13,may,185,6,-1,0,,no
23287,55,admin.,married,secondary,no,1232,no,no,cellular,27,aug,97,7,-1,0,,no
16336,31,admin.,single,secondary,no,5248,no,yes,cellular,23,jul,368,1,-1,0,,no
27844,39,,single,,no,0,no,no,telephone,28,jan,28,1,-1,0,,no
27875,46,management,divorced,tertiary,no,194,no,no,cellular,28,jan,97,1,-1,0,,no
5559,39,blue-collar,married,secondary,no,293,yes,no,,23,may,160,3,-1,0,,no
36871,40,services,married,secondary,no,1836,yes,no,cellular,12,may,750,2,-1,0,,yes
18342,55,housemaid,divorced,,no,603,no,no,telephone,31,jul,91,2,-1,0,,no
18356,36,blue-collar,married,secondary,no,462,no,no,cellular,31,jul,474,2,-1,0,,no
37616,35,blue-collar,divorced,secondary,no,-566,yes,no,cellular,14,may,151,2,353,2,failure,no
10253,37,blue-collar,married,primary,yes,-142,no,no,,11,jun,199,3,-1,0,,no
12408,40,technician,married,secondary,no,59,yes,no,,30,jun,322,3,-1,0,,no
41890,54,management,married,,no,831,yes,yes,telephone,19,oct,208,3,109,3,failure,no
43240,31,technician,married,tertiary,no,1570,yes,no,cellular,8,mar,277,4,286,1,failure,yes
38237,22,blue-collar,single,secondary,no,-51,yes,no,cellular,15,may,859,1,-1,0,,yes
18293,58,blue-collar,married,primary,no,0,yes,no,cellular,31,jul,5,25,-1,0,,no
27718,50,technician,married,tertiary,no,72,no,no,telephone,5,dec,12,1,-1,0,,no
290,37,management,married,tertiary,no,58,yes,no,,5,may,98,2,-1,0,,no
19331,48,management,divorced,tertiary,no,174,no,no,cellular,6,aug,290,2,-1,0,,no
26133,51,entrepreneur,married,tertiary,no,3188,yes,yes,cellular,19,nov,339,3,-1,0,,no
30542,40,blue-collar,married,primary,no,533,yes,no,cellular,5,feb,675,4,-1,0,,no
30567,31,technician,single,tertiary,no,3729,yes,no,cellular,5,feb,176,2,8,10,other,no
14860,57,technician,married,primary,no,0,no,no,cellular,16,jul,214,1,-1,0,,no
5462,37,blue-collar,married,primary,no,510,yes,no,,23,may,122,6,-1,0,,no
31257,32,management,single,tertiary,no,506,no,no,cellular,5,mar,63,2,-1,0,,yes
29951,54,management,married,tertiary,no,7249,yes,yes,cellular,4,feb,102,2,77,1,failure,no
44896,23,student,single,secondary,no,1062,no,no,telephone,27,sep,379,3,-1,0,,no
29578,36,blue-collar,divorced,primary,no,102,no,no,cellular,3,feb,306,2,-1,0,,no
38363,34,blue-collar,married,secondary,no,29,yes,no,cellular,15,may,285,5,-1,0,,yes
3159,43,technician,single,secondary,no,0,yes,no,,14,may,37,3,-1,0,,no
28901,30,blue-collar,single,secondary,no,49,no,no,cellular,30,jan,808,2,-1,0,,yes
15207,35,blue-collar,married,tertiary,no,1016,yes,no,cellular,17,jul,294,2,-1,0,,no
24386,31,admin.,single,tertiary,no,0,no,no,cellular,17,nov,173,1,-1,0,,no
26047,39,management,divorced,tertiary,no,1315,yes,no,cellular,19,nov,1337,4,126,1,failure,no
31775,49,management,married,tertiary,no,78,yes,no,cellular,8,apr,65,3,-1,0,,no
5465,36,admin.,married,secondary,no,176,yes,no,,23,may,111,1,-1,0,,no
14348,28,technician,married,secondary,no,2919,yes,no,cellular,14,jul,101,3,-1,0,,no
43572,64,retired,married,secondary,no,4787,no,no,cellular,28,apr,392,1,182,1,success,yes
41997,70,retired,married,secondary,no,616,no,no,cellular,27,oct,89,1,-1,0,,no
26909,45,housemaid,married,tertiary,no,460,no,no,cellular,21,nov,312,3,157,1,failure,no
12485,26,technician,divorced,tertiary,no,-70,no,yes,,1,jul,1992,2,-1,0,,no
28209,29,entrepreneur,single,primary,no,97,yes,no,cellular,29,jan,200,1,-1,0,,no
14701,30,admin.,married,secondary,no,0,no,no,cellular,15,jul,127,5,-1,0,,no
36600,53,blue-collar,married,secondary,no,-108,yes,no,cellular,12,may,11,12,175,3,other,no
36824,28,blue-collar,married,secondary,no,337,yes,no,cellular,12,may,450,2,-1,0,,no
14308,39,technician,single,secondary,no,287,yes,no,cellular,14,jul,84,3,-1,0,,no
36268,50,admin.,married,secondary,no,326,yes,no,cellular,11,may,124,1,369,2,failure,no
40712,79,retired,married,secondary,no,2354,no,no,telephone,7,aug,121,2,-1,0,,no
12437,40,admin.,married,secondary,no,220,yes,no,,30,jun,69,3,-1,0,,no
1096,59,housemaid,divorced,,no,873,yes,no,,7,may,152,3,-1,0,,no
39437,31,admin.,single,secondary,no,554,yes,no,cellular,25,may,97,3,103,2,failure,no
4122,47,admin.,married,secondary,no,292,yes,no,,19,may,82,3,-1,0,,no
10683,46,technician,married,secondary,no,536,yes,no,,16,jun,750,2,-1,0,,yes
40516,51,technician,married,secondary,no,6840,no,no,telephone,7,jul,257,1,-1,0,,yes
24390,53,technician,divorced,tertiary,no,2228,no,no,cellular,17,nov,890,1,-1,0,,yes
23061,47,blue-collar,married,secondary,no,581,yes,no,cellular,26,aug,79,6,-1,0,,no
30635,44,blue-collar,married,secondary,no,837,yes,no,cellular,6,feb,218,1,-1,0,,no
8433,38,technician,single,secondary,no,12926,yes,no,,3,jun,280,1,-1,0,,no
14937,43,entrepreneur,single,secondary,no,5705,no,yes,cellular,16,jul,173,2,-1,0,,no
18700,28,admin.,single,secondary,no,189,yes,no,cellular,31,jul,68,2,-1,0,,no
33184,43,unemployed,married,secondary,no,948,yes,no,cellular,20,apr,199,6,-1,0,,no
10831,59,housemaid,divorced,secondary,no,0,no,no,,17,jun,98,1,-1,0,,no
21775,34,admin.,married,secondary,no,445,no,no,cellular,19,aug,256,2,-1,0,,no
27312,39,unemployed,married,tertiary,no,529,yes,yes,cellular,21,nov,673,1,-1,0,,no
40177,53,management,divorced,tertiary,no,380,no,yes,cellular,5,jun,438,2,-1,0,,yes
11873,44,management,divorced,tertiary,no,2237,yes,no,,20,jun,125,2,-1,0,,no
27685,36,unemployed,married,primary,no,2347,yes,no,cellular,21,nov,5,3,-1,0,,no
832,37,blue-collar,married,secondary,no,16,yes,no,,7,may,250,1,-1,0,,no
43636,27,management,single,secondary,no,145,yes,no,cellular,5,may,121,4,89,3,failure,no
24277,58,management,married,tertiary,no,2764,no,no,cellular,17,nov,235,1,-1,0,,no
43422,33,self-employed,single,tertiary,no,562,yes,yes,cellular,6,apr,196,1,363,1,failure,yes
38465,39,blue-collar,married,primary,no,2288,yes,no,cellular,15,may,265,1,-1,0,,no
1157,31,blue-collar,married,tertiary,no,2827,yes,no,,8,may,238,3,-1,0,,no
18982,36,technician,married,secondary,no,594,no,yes,cellular,4,aug,230,3,-1,0,,no
32032,82,housemaid,married,primary,no,2140,no,no,telephone,14,apr,118,6,-1,0,,no
22395,32,management,single,tertiary,no,334,no,no,cellular,22,aug,944,14,-1,0,,no
2874,41,blue-collar,married,primary,no,1654,yes,no,,14,may,35,1,-1,0,,no
3025,44,admin.,married,secondary,no,447,yes,yes,,14,may,106,5,-1,0,,no
42110,33,management,single,tertiary,no,576,no,no,cellular,2,nov,144,1,-1,0,,no
19031,59,blue-collar,married,primary,no,460,no,no,cellular,5,aug,224,1,-1,0,,no
15530,28,blue-collar,single,secondary,no,-193,no,no,cellular,18,jul,580,7,-1,0,,no
10930,38,unemployed,divorced,secondary,no,258,no,no,,17,jun,88,2,-1,0,,no
1574,44,blue-collar,married,secondary,no,138,yes,no,,8,may,283,3,-1,0,,no
4976,36,management,married,,no,-35,yes,yes,,21,may,17,2,-1,0,,no
32373,37,technician,married,secondary,no,0,yes,no,cellular,16,apr,657,4,149,1,other,no
22638,60,retired,married,,no,963,no,no,cellular,22,aug,148,10,-1,0,,no
34907,51,management,divorced,tertiary,no,93,yes,yes,cellular,6,may,221,1,-1,0,,no
16398,59,self-employed,married,tertiary,no,0,yes,no,cellular,23,jul,256,1,-1,0,,no
1552,48,technician,divorced,tertiary,no,574,yes,no,,8,may,341,2,-1,0,,no
9925,40,services,married,,no,88,yes,no,,9,jun,78,2,-1,0,,no
26633,36,blue-collar,married,primary,no,21,no,no,telephone,20,nov,35,1,-1,0,,no
35161,30,management,married,secondary,no,-559,yes,yes,cellular,7,may,98,1,167,2,failure,no
30995,27,management,single,,no,3196,no,no,cellular,9,feb,10,2,-1,0,,no
22564,45,technician,married,tertiary,no,12766,no,no,cellular,22,aug,129,3,-1,0,,no
31500,45,management,married,tertiary,no,753,yes,no,cellular,2,apr,2870,2,-1,0,,no
28984,40,admin.,married,secondary,no,5,no,no,cellular,2,feb,174,1,-1,0,,no
40855,32,services,single,secondary,no,1153,no,no,cellular,12,aug,340,2,-1,0,,no
32124,32,services,single,secondary,no,-55,yes,no,cellular,15,apr,601,1,-1,0,,no
39503,34,management,single,tertiary,no,747,no,no,cellular,25,may,109,1,-1,0,,no
5897,39,technician,married,secondary,no,501,no,no,,26,may,289,1,-1,0,,no
18217,53,blue-collar,married,secondary,no,2047,no,no,telephone,30,jul,342,6,-1,0,,no
27785,28,services,divorced,secondary,no,356,no,no,cellular,28,jan,296,1,-1,0,,no
15936,37,retired,married,secondary,no,-252,no,no,cellular,22,jul,438,3,-1,0,,no
12817,37,admin.,single,secondary,no,-117,no,yes,cellular,7,jul,106,1,-1,0,,no
5057,32,technician,single,tertiary,no,4665,yes,no,,21,may,860,2,-1,0,,yes
18952,52,management,married,tertiary,no,809,no,no,cellular,4,aug,121,1,-1,0,,no
33364,35,self-employed,married,secondary,no,598,yes,no,cellular,20,apr,245,1,-1,0,,no
33041,47,blue-collar,married,secondary,no,1203,yes,no,cellular,17,apr,239,2,-1,0,,no
9154,37,entrepreneur,married,secondary,no,351,yes,no,,5,jun,169,3,-1,0,,no
31510,22,student,single,secondary,no,722,yes,no,cellular,2,apr,108,1,-1,0,,no
43028,54,technician,married,secondary,no,10185,no,no,cellular,12,feb,251,1,186,3,success,yes
34953,32,admin.,married,secondary,no,752,yes,no,cellular,6,may,519,2,166,5,failure,yes
11011,38,unemployed,married,secondary,no,926,no,no,,17,jun,705,5,-1,0,,no
39702,44,management,married,tertiary,no,7818,no,no,cellular,27,may,412,1,-1,0,,yes
31230,28,management,single,tertiary,no,730,yes,no,cellular,3,mar,631,1,-1,0,,yes
25142,36,entrepreneur,married,secondary,no,215,yes,yes,cellular,18,nov,309,1,-1,0,,no
2952,42,blue-collar,married,primary,no,505,yes,no,,14,may,521,2,-1,0,,no
308,44,blue-collar,married,secondary,no,129,yes,yes,,5,may,189,2,-1,0,,no
31237,37,,single,tertiary,no,0,no,no,cellular,3,mar,426,1,-1,0,,yes
341,43,management,divorced,secondary,no,693,yes,no,,5,may,124,3,-1,0,,no
12980,26,blue-collar,single,secondary,no,6,no,yes,telephone,7,jul,360,3,-1,0,,no
9264,41,management,married,tertiary,no,1304,yes,no,,5,jun,93,3,-1,0,,no
