age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,y
34,blue-collar,married,secondary,no,29,yes,no,cellular,15,may,285,5,-1,0,,yes
56,blue-collar,married,secondary,no,3760,no,no,,18,jun,243,3,-1,0,,no
32,blue-collar,married,primary,no,-6,yes,no,cellular,6,may,169,2,-1,0,,no
41,management,married,secondary,no,1273,no,no,,20,jun,73,3,-1,0,,no
27,student,single,,no,2183,no,no,cellular,5,feb,219,3,-1,0,,no
38,admin.,divorced,secondary,no,19,yes,no,cellular,5,feb,1130,3,251,2,success,yes
69,housemaid,married,primary,no,1080,no,no,cellular,18,aug,197,2,118,2,failure,no
45,admin.,single,secondary,no,206,yes,no,,5,may,193,1,-1,0,,no
24,admin.,single,secondary,no,120,yes,no,cellular,18,may,145,1,-1,0,,no
29,technician,single,tertiary,no,18254,no,no,cellular,11,may,279,2,-1,0,,no
32,entrepreneur,married,secondary,no,390,no,no,cellular,30,nov,152,1,-1,0,,no
36,self-employed,single,tertiary,no,977,no,no,,20,jun,172,2,-1,0,,no
25,management,single,tertiary,no,493,yes,no,,4,jun,301,1,-1,0,,no
29,self-employed,married,tertiary,no,2305,no,no,cellular,27,may,82,2,-1,0,,no
77,retired,married,secondary,no,2123,no,no,telephone,4,feb,141,4,-1,0,,no
56,management,married,tertiary,no,3172,yes,no,cellular,5,feb,139,1,-1,0,,no
36,blue-collar,divorced,secondary,no,-140,yes,no,,26,may,222,2,-1,0,,no
50,blue-collar,married,,no,1389,yes,no,cellular,17,apr,300,3,302,3,failure,no
38,blue-collar,married,secondary,no,776,yes,no,,21,may,135,2,-1,0,,no
45,technician,single,secondary,no,1171,yes,no,cellular,17,nov,34,1,-1,0,,no
41,management,married,secondary,no,0,yes,no,cellular,2,feb,154,2,264,1,other,no
48,technician,married,secondary,no,1152,yes,no,cellular,21,jul,168,5,-1,0,,no
38,housemaid,divorced,secondary,no,70,no,no,cellular,27,oct,255,3,148,1,success,yes
82,housemaid,married,primary,no,2140,no,no,telephone,14,apr,118,6,-1,0,,no
40,technician,single,secondary,no,572,no,no,cellular,21,aug,971,2,-1,0,,no
57,blue-collar,married,primary,no,1460,no,no,,13,may,91,2,-1,0,,no
39,blue-collar,divorced,primary,no,1317,yes,no,cellular,20,nov,543,1,170,4,other,yes
45,housemaid,married,tertiary,no,460,no,no,cellular,21,nov,312,3,157,1,failure,no
37,admin.,married,secondary,no,147,yes,no,cellular,7,jul,25,30,-1,0,,no
28,entrepreneur,single,tertiary,no,224,yes,no,cellular,18,may,567,2,-1,0,,no
34,admin.,married,secondary,no,16489,yes,no,cellular,20,nov,145,1,-1,0,,no
43,blue-collar,married,secondary,no,511,yes,no,cellular,30,jul,67,7,-1,0,,no
31,technician,married,secondary,no,1868,yes,no,,9,may,213,2,-1,0,,no
37,blue-collar,married,primary,no,223,yes,no,cellular,7,may,569,1,297,3,failure,no
22,technician,single,secondary,no,4659,yes,no,,23,jun,53,4,-1,0,,no
53,admin.,married,secondary,no,-197,yes,yes,,15,may,178,1,-1,0,,no
47,management,single,secondary,no,-246,yes,no,cellular,5,may,145,1,365,2,failure,no
32,management,divorced,tertiary,no,5306,yes,no,,20,may,201,1,-1,0,,no
58,self-employed,married,tertiary,no,2596,no,no,telephone,18,nov,15,2,-1,0,,no
54,retired,married,secondary,no,3671,no,no,,11,jun,67,3,-1,0,,no
43,entrepreneur,single,secondary,no,5705,no,yes,cellular,16,jul,173,2,-1,0,,no
44,blue-collar,married,secondary,no,8666,no,no,telephone,6,apr,172,1,-1,0,,no
39,blue-collar,married,secondary,no,5222,yes,no,cellular,21,nov,239,2,177,1,failure,no
50,management,divorced,tertiary,no,813,yes,no,cellular,31,jul,7,2,-1,0,,no
42,entrepreneur,married,secondary,no,324,yes,no,cellular,15,jul,528,3,-1,0,,no
31,technician,single,primary,no,449,yes,no,,28,may,174,1,-1,0,,no
57,blue-collar,married,primary,no,5431,yes,yes,,6,may,383,1,-1,0,,no
28,management,single,secondary,no,311,yes,no,,20,jun,23,13,-1,0,,no
34,technician,single,secondary,no,692,yes,no,,20,may,254,1,-1,0,,no
39,blue-collar,married,secondary,no,1309,no,yes,telephone,10,jul,37,1,-1,0,,no
55,retired,married,primary,no,-966,no,yes,cellular,14,may,104,1,-1,0,,no
48,admin.,married,secondary,no,2262,no,no,cellular,4,aug,70,1,-1,0,,no
54,technician,married,secondary,no,465,yes,yes,cellular,17,nov,92,1,-1,0,,no
41,self-employed,single,tertiary,no,3950,yes,no,,30,may,96,2,-1,0,,no
29,services,divorced,secondary,no,92,yes,no,cellular,7,may,240,1,-1,0,,no
30,services,single,secondary,no,268,yes,no,cellular,8,may,226,5,-1,0,,no
32,technician,married,secondary,no,374,no,no,cellular,6,aug,119,6,-1,0,,no
57,admin.,single,secondary,no,3551,yes,no,cellular,12,may,458,1,-1,0,,yes
53,housemaid,divorced,secondary,no,120,no,no,,17,jun,343,2,-1,0,,no
35,technician,divorced,tertiary,no,20,yes,yes,cellular,7,aug,51,2,-1,0,,no
27,blue-collar,single,secondary,no,2752,yes,no,cellular,18,may,165,2,-1,0,,no
58,management,married,primary,no,0,no,no,,12,jun,77,6,-1,0,,no
48,blue-collar,married,secondary,no,750,yes,no,,3,jun,246,5,-1,0,,no
38,technician,married,tertiary,no,1997,yes,no,cellular,6,apr,90,10,-1,0,,no
38,management,single,tertiary,no,424,yes,no,,5,may,104,1,-1,0,,no
27,blue-collar,single,secondary,no,77,no,yes,cellular,7,jul,497,1,-1,0,,no
34,services,married,secondary,no,1270,yes,no,,21,may,494,3,-1,0,,no
46,management,married,tertiary,no,459,yes,no,,6,may,221,1,-1,0,,no
52,blue-collar,married,primary,no,306,no,no,cellular,28,jan,223,1,-1,0,,yes
43,management,married,tertiary,no,21510,no,no,cellular,8,aug,248,2,-1,0,,no
49,technician,married,primary,no,1415,yes,no,cellular,30,jul,269,2,-1,0,,no
58,admin.,married,,no,2180,no,no,cellular,18,aug,273,4,-1,0,,no
35,management,single,,no,137,no,no,,28,may,667,3,-1,0,,no
30,admin.,single,tertiary,no,218,no,no,,4,jul,137,2,-1,0,,no
26,technician,single,secondary,no,7,yes,no,cellular,22,jul,188,2,-1,0,,no
40,management,single,tertiary,no,2258,yes,no,cellular,14,may,115,3,287,2,failure,no
48,blue-collar,single,primary,no,1938,yes,no,,4,jun,407,1,-1,0,,no
72,retired,married,primary,no,0,no,no,cellular,29,dec,215,2,-1,0,,no
31,admin.,single,secondary,no,1270,yes,no,cellular,14,may,291,1,364,1,other,no
44,technician,married,primary,no,2887,yes,no,,13,may,182,1,-1,0,,no
52,entrepreneur,married,primary,no,-104,no,yes,cellular,10,jul,124,1,-1,0,,no
43,blue-collar,married,primary,no,-101,yes,no,,14,may,122,4,-1,0,,no
34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,20,nov,371,1,-1,0,,no
37,admin.,married,secondary,no,1314,yes,no,cellular,8,may,682,2,85,7,success,no
32,admin.,married,tertiary,no,0,yes,yes,cellular,11,jul,85,2,-1,0,,no
51,technician,married,secondary,no,4924,yes,no,,30,may,448,1,-1,0,,no
43,blue-collar,married,primary,no,2605,yes,no,,15,may,347,4,-1,0,,no
41,blue-collar,divorced,secondary,no,-104,yes,no,,16,may,32,3,-1,0,,no
29,student,single,secondary,no,1854,no,no,telephone,4,may,390,3,-1,0,,no
32,admin.,married,tertiary,no,281,yes,no,,6,may,226,1,-1,0,,no
34,technician,married,secondary,no,563,yes,yes,cellular,29,aug,32,15,-1,0,,no
30,management,single,tertiary,no,572,no,no,cellular,17,jun,339,3,183,2,success,yes
52,management,single,tertiary,no,1205,no,no,telephone,19,aug,18,20,-1,0,,no
50,services,divorced,secondary,no,339,yes,no,cellular,7,may,43,3,-1,0,,no
33,blue-collar,married,secondary,no,327,yes,no,cellular,21,jul,81,1,-1,0,,no
34,entrepreneur,single,secondary,no,0,yes,yes,,21,may,394,2,-1,0,,no
36,self-employed,married,primary,no,1094,yes,no,cellular,8,apr,291,1,335,1,failure,no
24,blue-collar,single,secondary,no,-438,yes,no,,27,may,410,1,-1,0,,no
46,blue-collar,married,primary,no,-287,yes,no,,30,may,113,3,-1,0,,no
32,blue-collar,divorced,primary,no,174,yes,no,telephone,18,jul,11,1,-1,0,,no
36,technician,married,secondary,no,-8,yes,no,,26,may,180,2,-1,0,,no
58,services,married,secondary,no,1301,yes,no,cellular,11,may,261,1,286,2,failure,no
32,technician,married,secondary,no,524,no,no,cellular,5,aug,493,1,-1,0,,no
37,technician,married,secondary,no,710,yes,no,,6,may,378,3,-1,0,,no
37,technician,single,tertiary,no,-487,yes,no,cellular,12,may,358,1,260,5,other,no
35,blue-collar,married,secondary,no,-258,yes,no,cellular,9,jul,219,1,-1,0,,no
37,blue-collar,married,secondary,no,190,yes,no,,9,may,83,2,-1,0,,no
39,technician,single,secondary,no,1,no,no,cellular,19,aug,111,2,-1,0,,no
58,admin.,married,secondary,no,855,no,no,cellular,14,aug,81,2,-1,0,,no
57,technician,divorced,secondary,no,99,yes,no,cellular,11,may,133,2,370,2,failure,no
26,services,single,secondary,no,37,no,yes,cellular,2,feb,219,5,-1,0,,no
53,management,married,tertiary,no,0,yes,no,cellular,9,jul,296,1,-1,0,,no
42,services,married,primary,no,473,yes,no,cellular,30,jan,54,1,-1,0,,no
38,blue-collar,married,primary,no,3419,yes,no,,20,jun,324,5,-1,0,,no
33,management,married,tertiary,no,1388,yes,no,cellular,31,may,158,1,202,3,failure,no
27,student,single,tertiary,no,-148,yes,no,cellular,11,sep,146,3,224,1,other,no
35,blue-collar,married,secondary,no,67,no,no,,20,may,60,6,-1,0,,no
46,management,single,tertiary,no,2154,yes,no,cellular,21,jul,87,4,-1,0,,no
31,management,married,tertiary,no,302,yes,yes,cellular,4,feb,181,1,257,1,failure,no
31,management,married,tertiary,no,357,yes,no,cellular,13,apr,201,2,228,5,failure,no
32,technician,divorced,secondary,no,211,yes,yes,,29,may,230,4,-1,0,,no
32,services,divorced,secondary,no,1156,yes,no,cellular,19,nov,81,1,182,1,failure,no
29,admin.,married,secondary,no,36,yes,no,,28,may,126,1,-1,0,,no
36,management,married,tertiary,no,128,no,no,cellular,8,jul,733,1,-1,0,,no
31,management,married,tertiary,no,1224,yes,yes,cellular,20,nov,75,2,119,2,success,no
46,services,married,secondary,no,1227,yes,yes,,30,may,135,1,-1,0,,no
25,services,married,secondary,no,806,yes,yes,cellular,15,may,193,2,-1,0,,no
38,technician,married,secondary,no,1,yes,no,cellular,21,nov,57,5,199,1,success,no
30,management,divorced,tertiary,no,46,no,no,cellular,13,aug,382,3,-1,0,,no
48,management,married,tertiary,yes,-13,yes,no,cellular,15,may,20,6,291,2,other,no
35,retired,single,secondary,no,527,no,yes,,2,jul,348,3,-1,0,,no
35,self-employed,single,tertiary,no,538,yes,yes,,8,may,21,9,-1,0,,no
50,services,married,,no,37,no,no,cellular,5,aug,307,4,-1,0,,no
32,technician,single,tertiary,no,388,yes,no,cellular,22,aug,119,2,-1,0,,no
54,blue-collar,married,secondary,no,466,no,no,cellular,29,aug,436,4,-1,0,,no
49,blue-collar,single,primary,no,87,yes,no,telephone,14,may,162,2,-1,0,,no
54,management,single,tertiary,no,2419,yes,no,cellular,12,aug,139,2,-1,0,,no
41,blue-collar,married,secondary,no,-68,yes,no,,14,may,429,2,-1,0,,no
35,management,single,tertiary,no,3000,yes,no,cellular,15,may,162,3,-1,0,,no
55,,married,secondary,no,2206,no,no,cellular,12,aug,265,1,91,5,success,yes
30,services,married,secondary,no,249,yes,no,cellular,17,apr,294,1,275,2,failure,no
59,housemaid,divorced,primary,no,195,no,no,,5,may,366,2,-1,0,,no
54,retired,married,secondary,no,1371,no,no,telephone,25,jul,1492,2,-1,0,,yes
55,management,divorced,tertiary,no,36,no,no,cellular,23,jul,111,2,-1,0,,no
28,technician,married,secondary,no,675,yes,no,cellular,17,apr,499,2,-1,0,,no
46,technician,married,secondary,no,2098,no,no,cellular,7,aug,110,2,-1,0,,no
36,management,married,secondary,no,122,yes,no,,19,may,39,7,-1,0,,no
35,services,married,secondary,no,868,no,no,cellular,6,feb,36,1,-1,0,,no
36,management,married,tertiary,no,446,yes,no,telephone,16,jul,174,5,-1,0,,no
54,management,married,tertiary,no,1258,no,no,cellular,28,aug,153,14,-1,0,,no
35,entrepreneur,married,secondary,no,313,yes,no,cellular,15,jul,479,1,-1,0,,no
37,housemaid,married,secondary,no,285,no,no,,16,jun,401,2,-1,0,,no
33,management,married,tertiary,no,806,yes,no,,6,jun,124,3,-1,0,,no
40,management,single,tertiary,no,402,yes,no,,30,may,243,3,-1,0,,no
31,unemployed,single,secondary,no,284,yes,no,cellular,2,feb,855,1,-1,0,,yes
40,admin.,married,tertiary,no,1,yes,no,telephone,22,may,249,3,-1,0,,no
29,admin.,single,secondary,no,488,yes,no,cellular,4,jun,105,1,-1,0,,no
32,management,single,tertiary,no,2515,no,yes,cellular,19,nov,223,2,-1,0,,no
28,services,married,secondary,no,38,yes,no,cellular,18,may,16,5,355,3,other,no
32,unemployed,single,tertiary,no,99,no,no,cellular,28,aug,49,35,-1,0,,no
37,management,single,tertiary,no,509,yes,no,cellular,6,may,133,1,-1,0,,no
26,services,married,secondary,no,199,no,no,cellular,24,jul,139,6,-1,0,,no
49,unemployed,single,tertiary,no,631,no,no,cellular,9,feb,140,6,12,1,other,no
28,management,married,tertiary,no,17,yes,no,cellular,11,jul,16,2,-1,0,,no
29,management,married,tertiary,no,0,yes,no,cellular,6,may,667,2,-1,0,,yes
22,student,single,secondary,no,330,yes,no,cellular,18,may,105,1,-1,0,,no
59,retired,married,primary,no,1425,yes,no,cellular,28,aug,299,3,-1,0,,no
55,housemaid,married,secondary,no,127,yes,no,telephone,21,jul,1130,8,-1,0,,yes
25,admin.,single,tertiary,no,3730,yes,no,cellular,27,feb,353,1,-1,0,,yes
57,entrepreneur,married,secondary,no,1179,no,no,cellular,19,aug,189,2,-1,0,,no
41,services,married,secondary,no,446,yes,no,cellular,18,nov,296,1,186,1,success,no
42,services,married,secondary,no,0,no,no,cellular,15,jul,194,4,-1,0,,no
74,retired,married,secondary,no,1714,no,no,telephone,17,feb,127,1,-1,0,,yes
51,technician,married,secondary,no,371,yes,yes,cellular,21,oct,287,1,-1,0,,yes
41,management,married,tertiary,no,1495,yes,no,cellular,19,nov,210,2,-1,0,,no
25,services,single,,no,342,no,no,cellular,29,jul,281,4,-1,0,,no
40,blue-collar,married,secondary,no,503,yes,yes,cellular,18,may,24,2,-1,0,,no
33,entrepreneur,married,tertiary,no,2179,yes,yes,cellular,7,may,217,1,167,2,other,no
31,blue-collar,married,secondary,no,298,yes,no,,28,may,154,3,-1,0,,no
33,blue-collar,divorced,primary,no,636,yes,no,cellular,9,jul,211,11,-1,0,,no
24,blue-collar,married,secondary,no,685,yes,no,,26,may,896,3,-1,0,,yes
56,blue-collar,divorced,primary,no,596,no,no,,12,jun,123,1,-1,0,,no
60,management,divorced,primary,no,2694,no,no,telephone,6,jul,295,1,-1,0,,no
31,technician,married,secondary,no,54,no,no,cellular,7,aug,137,2,-1,0,,no
40,technician,divorced,secondary,no,692,yes,no,,30,may,58,3,-1,0,,no
41,services,married,,no,4,no,no,,6,may,284,2,-1,0,,no
58,management,married,tertiary,no,9683,no,no,cellular,4,aug,857,2,-1,0,,no
28,student,single,tertiary,no,170,no,no,telephone,14,may,16,5,-1,0,,no
53,blue-collar,married,primary,no,787,yes,yes,cellular,7,aug,119,2,-1,0,,no
48,technician,divorced,secondary,no,40,no,no,,12,may,300,3,-1,0,,no
41,admin.,divorced,secondary,no,2397,yes,no,,30,may,278,2,-1,0,,no
42,technician,married,tertiary,no,1397,yes,no,cellular,6,feb,135,7,-1,0,,no
45,technician,married,tertiary,no,2699,yes,no,cellular,29,jun,264,4,-1,0,,no
39,unemployed,married,primary,no,1147,yes,yes,cellular,6,may,232,2,363,5,failure,no
47,unemployed,married,secondary,no,351,yes,yes,,29,may,370,1,-1,0,,no
41,admin.,married,secondary,no,1597,yes,no,cellular,16,apr,461,2,321,1,failure,no
40,admin.,married,secondary,no,824,yes,no,cellular,17,apr,359,1,-1,0,,no
32,blue-collar,divorced,secondary,no,-15,yes,yes,cellular,11,may,132,3,-1,0,,no
40,entrepreneur,married,secondary,no,264,yes,no,,14,may,222,2,-1,0,,no
53,blue-collar,married,secondary,no,2047,no,no,telephone,30,jul,342,6,-1,0,,no
37,management,single,tertiary,no,410,no,no,cellular,7,aug,542,3,-1,0,,no
51,admin.,single,tertiary,no,394,no,no,telephone,28,jan,968,2,-1,0,,yes
33,blue-collar,single,secondary,no,372,yes,no,,23,may,92,1,-1,0,,no
44,blue-collar,single,secondary,no,0,yes,no,cellular,4,may,64,2,19,1,failure,no
55,retired,married,tertiary,no,127,no,no,cellular,5,feb,80,2,-1,0,,no
32,entrepreneur,married,tertiary,no,721,yes,no,cellular,15,may,128,1,-1,0,,no
27,admin.,married,secondary,no,941,yes,no,cellular,11,jul,124,1,-1,0,,no
41,unemployed,married,tertiary,no,1666,no,no,,9,jun,291,3,-1,0,,no
43,blue-collar,married,primary,no,479,yes,no,cellular,14,may,293,2,370,2,failure,no
58,retired,single,tertiary,no,1411,yes,no,cellular,13,may,425,2,-1,0,,no
42,blue-collar,married,secondary,no,273,no,no,,12,jun,315,1,-1,0,,no
50,blue-collar,married,primary,no,2190,no,no,,17,jun,269,1,-1,0,,no
36,services,married,tertiary,no,0,yes,no,cellular,8,may,52,1,-1,0,,no
52,management,married,tertiary,no,4173,no,yes,cellular,21,nov,159,2,-1,0,,no
33,blue-collar,single,secondary,no,228,no,no,telephone,5,may,110,1,89,4,failure,no
48,blue-collar,single,secondary,no,44,yes,no,,6,may,153,1,-1,0,,no
52,management,single,tertiary,no,2076,yes,no,,29,may,112,1,-1,0,,no
50,services,divorced,secondary,no,641,no,no,cellular,25,may,128,3,-1,0,,no
30,technician,single,secondary,no,359,yes,no,cellular,7,may,362,1,303,1,failure,no
41,technician,married,secondary,no,64,yes,yes,,8,may,210,2,-1,0,,no
25,technician,single,secondary,no,1298,no,no,cellular,2,sep,206,7,94,2,other,no
58,blue-collar,married,primary,no,3,no,yes,telephone,29,jul,55,16,-1,0,,no
33,management,married,tertiary,no,188,yes,no,,21,may,136,1,-1,0,,no
41,management,married,tertiary,no,1304,yes,no,,5,jun,93,3,-1,0,,no
48,,married,,no,2261,no,no,,18,jun,445,3,-1,0,,no
39,unemployed,married,tertiary,no,529,yes,yes,cellular,21,nov,673,1,-1,0,,no
38,entrepreneur,married,secondary,no,2139,yes,no,,9,may,576,1,-1,0,,no
37,blue-collar,single,primary,no,0,yes,yes,cellular,22,jul,118,1,-1,0,,no
55,housemaid,divorced,primary,no,77,no,no,cellular,31,jul,463,6,-1,0,,yes
53,technician,divorced,secondary,no,392,yes,no,cellular,28,jan,70,1,245,1,failure,no
54,technician,married,secondary,no,65,no,no,cellular,24,feb,87,1,91,3,failure,no
36,blue-collar,married,secondary,no,70,yes,no,,6,jun,100,2,-1,0,,no
31,blue-collar,married,secondary,no,1030,yes,no,cellular,31,jul,180,5,-1,0,,no
56,retired,married,secondary,no,450,no,no,telephone,17,nov,16,1,-1,0,,no
53,technician,divorced,tertiary,no,2228,no,no,cellular,17,nov,890,1,-1,0,,yes
30,technician,single,tertiary,no,255,yes,no,,9,may,119,2,-1,0,,no
57,management,married,tertiary,no,17118,yes,no,cellular,21,nov,102,1,-1,0,,no
35,technician,married,secondary,no,-67,yes,no,cellular,17,jul,160,6,-1,0,,no
31,management,single,tertiary,no,10215,no,no,cellular,22,aug,139,2,-1,0,,no
33,unemployed,single,,no,170,yes,no,,3,jun,327,1,-1,0,,no
43,services,married,secondary,no,-392,no,yes,cellular,8,jul,185,1,-1,0,,no
33,entrepreneur,married,primary,no,2339,yes,yes,cellular,20,nov,220,1,-1,0,,no
34,blue-collar,married,secondary,no,10,yes,yes,cellular,11,may,196,2,356,1,failure,no
35,technician,married,secondary,no,483,yes,no,cellular,11,jul,165,2,-1,0,,no
52,blue-collar,single,secondary,no,-477,no,no,cellular,31,jul,37,4,-1,0,,no
28,blue-collar,single,secondary,no,1348,yes,no,cellular,6,aug,221,2,-1,0,,yes
35,management,divorced,tertiary,no,505,no,no,cellular,23,jul,142,1,-1,0,,no
37,services,single,secondary,no,43,yes,no,cellular,17,jul,36,2,-1,0,,no
57,services,divorced,primary,no,362,no,no,cellular,28,jan,91,1,231,1,failure,no
31,technician,single,secondary,no,1170,yes,no,,2,jun,120,2,-1,0,,no
42,management,married,tertiary,no,1773,no,no,cellular,9,apr,311,1,336,1,failure,no
37,blue-collar,single,tertiary,no,1436,yes,no,cellular,12,may,177,2,-1,0,,no
30,management,married,secondary,no,3817,yes,no,cellular,20,nov,104,5,-1,0,,no
62,management,married,secondary,no,4562,yes,no,cellular,3,mar,168,1,-1,0,,yes
31,management,single,tertiary,no,0,yes,no,,5,may,562,1,-1,0,,no
27,student,single,,no,910,yes,yes,,27,may,77,1,-1,0,,no
50,management,divorced,tertiary,no,318,yes,no,,16,may,788,2,-1,0,,no
37,management,married,tertiary,no,11265,no,no,,18,jun,417,1,-1,0,,no
41,blue-collar,married,secondary,no,211,yes,no,telephone,8,may,546,3,368,4,failure,no
44,blue-collar,married,secondary,no,1025,yes,no,,18,jun,200,1,-1,0,,no
36,technician,single,tertiary,no,670,yes,no,cellular,17,apr,122,1,343,1,failure,no
32,technician,single,,no,491,no,no,cellular,9,jul,474,7,-1,0,,yes
61,admin.,divorced,tertiary,no,89,no,no,cellular,24,nov,141,2,95,2,other,no
37,blue-collar,married,primary,no,1455,yes,no,,21,may,165,2,-1,0,,no
36,technician,married,primary,no,1653,yes,yes,,27,may,336,10,-1,0,,no
56,management,single,tertiary,no,3694,no,no,cellular,25,aug,57,4,-1,0,,no
26,admin.,single,tertiary,no,2053,no,no,cellular,31,jul,127,4,-1,0,,no
42,services,single,secondary,no,518,yes,no,,6,may,198,1,-1,0,,no
56,management,married,tertiary,no,616,no,no,cellular,13,aug,293,2,105,2,success,yes
31,services,married,secondary,no,4687,yes,no,cellular,14,may,192,4,-1,0,,no
34,blue-collar,married,secondary,no,1682,yes,yes,cellular,28,jul,123,3,-1,0,,no
46,blue-collar,married,primary,no,-271,yes,no,cellular,25,jul,65,2,-1,0,,no
25,student,single,,no,277,no,no,cellular,27,may,311,2,-1,0,,yes
50,,married,primary,no,1502,no,no,,6,jun,34,2,-1,0,,no
54,technician,married,secondary,no,10185,no,no,cellular,12,feb,251,1,186,3,success,yes
