age,job,marital,education,default,balance,housing,loan,contact,month,duration,campaign,previous,target,pdays_contacted
29,technician,single,tertiary,no,18254,no,no,cellular,may,279,2,0,0,never
32,entrepreneur,married,secondary,no,390,no,no,cellular,nov,152,1,0,0,never
36,self-employed,single,tertiary,no,977,no,no,,jun,172,2,0,0,never
25,management,single,tertiary,no,493,yes,no,,jun,301,1,0,0,never
29,self-employed,married,tertiary,no,2305,no,no,cellular,may,82,2,0,0,never
77,retired,married,secondary,no,2123,no,no,telephone,feb,141,4,0,0,never
56,management,married,tertiary,no,3172,yes,no,cellular,feb,139,1,0,0,never
36,blue-collar,divorced,secondary,no,-140,yes,no,,may,222,2,0,0,never
50,blue-collar,married,,no,1389,yes,no,cellular,apr,300,3,3,0,contacted
38,blue-collar,married,secondary,no,776,yes,no,,may,135,2,0,0,never
45,technician,single,secondary,no,1171,yes,no,cellular,nov,34,1,0,0,never
41,management,married,secondary,no,0,yes,no,cellular,feb,154,2,1,0,contacted
48,technician,married,secondary,no,1152,yes,no,cellular,jul,168,5,0,0,never
38,housemaid,divorced,secondary,no,70,no,no,cellular,oct,255,3,1,1,contacted
82,housemaid,married,primary,no,2140,no,no,telephone,apr,118,6,0,0,never
40,technician,single,secondary,no,572,no,no,cellular,aug,971,2,0,0,never
57,blue-collar,married,primary,no,1460,no,no,,may,91,2,0,0,never
39,blue-collar,divorced,primary,no,1317,yes,no,cellular,nov,543,1,4,1,contacted
45,housemaid,married,tertiary,no,460,no,no,cellular,nov,312,3,1,0,contacted
37,admin.,married,secondary,no,147,yes,no,cellular,jul,25,30,0,0,never
28,entrepreneur,single,tertiary,no,224,yes,no,cellular,may,567,2,0,0,never
34,admin.,married,secondary,no,16489,yes,no,cellular,nov,145,1,0,0,never
43,blue-collar,married,secondary,no,511,yes,no,cellular,jul,67,7,0,0,never
31,technician,married,secondary,no,1868,yes,no,,may,213,2,0,0,never
37,blue-collar,married,primary,no,223,yes,no,cellular,may,569,1,3,0,contacted
22,technician,single,secondary,no,4659,yes,no,,jun,53,4,0,0,never
53,admin.,married,secondary,no,-197,yes,yes,,may,178,1,0,0,never
47,management,single,secondary,no,-246,yes,no,cellular,may,145,1,2,0,contacted
32,management,divorced,tertiary,no,5306,yes,no,,may,201,1,0,0,never
58,self-employed,married,tertiary,no,2596,no,no,telephone,nov,15,2,0,0,never
54,retired,married,secondary,no,3671,no,no,,jun,67,3,0,0,never
43,entrepreneur,single,secondary,no,5705,no,yes,cellular,jul,173,2,0,0,never
44,blue-collar,married,secondary,no,8666,no,no,telephone,apr,172,1,0,0,never
39,blue-collar,married,secondary,no,5222,yes,no,cellular,nov,239,2,1,0,contacted
50,management,divorced,tertiary,no,813,yes,no,cellular,jul,7,2,0,0,never
42,entrepreneur,married,secondary,no,324,yes,no,cellular,jul,528,3,0,0,never
31,technician,single,primary,no,449,yes,no,,may,174,1,0,0,never
57,blue-collar,married,primary,no,5431,yes,yes,,may,383,1,0,0,never
28,management,single,secondary,no,311,yes,no,,jun,23,13,0,0,never
34,technician,single,secondary,no,692,yes,no,,may,254,1,0,0,never
39,blue-collar,married,secondary,no,1309,no,yes,telephone,jul,37,1,0,0,never
55,retired,married,primary,no,-966,no,yes,cellular,may,104,1,0,0,never
48,admin.,married,secondary,no,2262,no,no,cellular,aug,70,1,0,0,never
54,technician,married,secondary,no,465,yes,yes,cellular,nov,92,1,0,0,never
41,self-employed,single,tertiary,no,3950,yes,no,,may,96,2,0,0,never
29,services,divorced,secondary,no,92,yes,no,cellular,may,240,1,0,0,never
30,services,single,secondary,no,268,yes,no,cellular,may,226,5,0,0,never
32,technician,married,secondary,no,374,no,no,cellular,aug,119,6,0,0,never
57,admin.,single,secondary,no,3551,yes,no,cellular,may,458,1,0,1,never
53,housemaid,divorced,secondary,no,120,no,no,,jun,343,2,0,0,never
35,technician,divorced,tertiary,no,20,yes,yes,cellular,aug,51,2,0,0,never
27,blue-collar,single,secondary,no,2752,yes,no,cellular,may,165,2,0,0,never
58,management,married,primary,no,0,no,no,,jun,77,6,0,0,never
48,blue-collar,married,secondary,no,750,yes,no,,jun,246,5,0,0,never
38,technician,married,tertiary,no,1997,yes,no,cellular,apr,90,10,0,0,never
38,management,single,tertiary,no,424,yes,no,,may,104,1,0,0,never
27,blue-collar,single,secondary,no,77,no,yes,cellular,jul,497,1,0,0,never
34,services,married,secondary,no,1270,yes,no,,may,494,3,0,0,never
46,management,married,tertiary,no,459,yes,no,,may,221,1,0,0,never
52,blue-collar,married,primary,no,306,no,no,cellular,jan,223,1,0,1,never
43,management,married,tertiary,no,21510,no,no,cellular,aug,248,2,0,0,never
49,technician,married,primary,no,1415,yes,no,cellular,jul,269,2,0,0,never
58,admin.,married,,no,2180,no,no,cellular,aug,273,4,0,0,never
35,management,single,,no,137,no,no,,may,667,3,0,0,never
30,admin.,single,tertiary,no,218,no,no,,jul,137,2,0,0,never
26,technician,single,secondary,no,7,yes,no,cellular,jul,188,2,0,0,never
40,management,single,tertiary,no,2258,yes,no,cellular,may,115,3,2,0,contacted
48,blue-collar,single,primary,no,1938,yes,no,,jun,407,1,0,0,never
72,retired,married,primary,no,0,no,no,cellular,dec,215,2,0,0,never
31,admin.,single,secondary,no,1270,yes,no,cellular,may,291,1,1,0,contacted
44,technician,married,primary,no,2887,yes,no,,may,182,1,0,0,never
52,entrepreneur,married,primary,no,-104,no,yes,cellular,jul,124,1,0,0,never
43,blue-collar,married,primary,no,-101,yes,no,,may,122,4,0,0,never
34,entrepreneur,divorced,tertiary,no,262,no,no,cellular,nov,371,1,0,0,never
37,admin.,married,secondary,no,1314,yes,no,cellular,may,682,2,7,0,contacted
32,admin.,married,tertiary,no,0,yes,yes,cellular,jul,85,2,0,0,never
51,technician,married,secondary,no,4924,yes,no,,may,448,1,0,0,never
43,blue-collar,married,primary,no,2605,yes,no,,may,347,4,0,0,never
41,blue-collar,divorced,secondary,no,-104,yes,no,,may,32,3,0,0,never
29,student,single,secondary,no,1854,no,no,telephone,may,390,3,0,0,never
32,admin.,married,tertiary,no,281,yes,no,,may,226,1,0,0,never
34,technician,married,secondary,no,563,yes,yes,cellular,aug,32,15,0,0,never
30,management,single,tertiary,no,572,no,no,cellular,jun,339,3,2,1,contacted
52,management,single,tertiary,no,1205,no,no,telephone,aug,18,20,0,0,never
50,services,divorced,secondary,no,339,yes,no,cellular,may,43,3,0,0,never
33,blue-collar,married,secondary,no,327,yes,no,cellular,jul,81,1,0,0,never
34,entrepreneur,single,secondary,no,0,yes,yes,,may,394,2,0,0,never
36,self-employed,married,primary,no,1094,yes,no,cellular,apr,291,1,1,0,contacted
24,blue-collar,single,secondary,no,-438,yes,no,,may,410,1,0,0,never
46,blue-collar,married,primary,no,-287,yes,no,,may,113,3,0,0,never
32,blue-collar,divorced,primary,no,174,yes,no,telephone,jul,11,1,0,0,never
36,technician,married,secondary,no,-8,yes,no,,may,180,2,0,0,never
58,services,married,secondary,no,1301,yes,no,cellular,may,261,1,2,0,contacted
32,technician,married,secondary,no,524,no,no,cellular,aug,493,1,0,0,never
37,technician,married,secondary,no,710,yes,no,,may,378,3,0,0,never
37,technician,single,tertiary,no,-487,yes,no,cellular,may,358,1,5,0,contacted
35,blue-collar,married,secondary,no,-258,yes,no,cellular,jul,219,1,0,0,never
37,blue-collar,married,secondary,no,190,yes,no,,may,83,2,0,0,never
39,technician,single,secondary,no,1,no,no,cellular,aug,111,2,0,0,never
58,admin.,married,secondary,no,855,no,no,cellular,aug,81,2,0,0,never
57,technician,divorced,secondary,no,99,yes,no,cellular,may,133,2,2,0,contacted
26,services,single,secondary,no,37,no,yes,cellular,feb,219,5,0,0,never
53,management,married,tertiary,no,0,yes,no,cellular,jul,296,1,0,0,never
42,services,married,primary,no,473,yes,no,cellular,jan,54,1,0,0,never
38,blue-collar,married,primary,no,3419,yes,no,,jun,324,5,0,0,never
33,management,married,tertiary,no,1388,yes,no,cellular,may,158,1,3,0,contacted
27,student,single,tertiary,no,-148,yes,no,cellular,sep,146,3,1,0,contacted
35,blue-collar,married,secondary,no,67,no,no,,may,60,6,0,0,never
46,management,single,tertiary,no,2154,yes,no,cellular,jul,87,4,0,0,never
31,management,married,tertiary,no,302,yes,yes,cellular,feb,181,1,1,0,contacted
31,management,married,tertiary,no,357,yes,no,cellular,apr,201,2,5,0,contacted
32,technician,divorced,secondary,no,211,yes,yes,,may,230,4,0,0,never
32,services,divorced,secondary,no,1156,yes,no,cellular,nov,81,1,1,0,contacted
29,admin.,married,secondary,no,36,yes,no,,may,126,1,0,0,never
36,management,married,tertiary,no,128,no,no,cellular,jul,733,1,0,0,never
31,management,married,tertiary,no,1224,yes,yes,cellular,nov,75,2,2,0,contacted
46,services,married,secondary,no,1227,yes,yes,,may,135,1,0,0,never
25,services,married,secondary,no,806,yes,yes,cellular,may,193,2,0,0,never
38,technician,married,secondary,no,1,yes,no,cellular,nov,57,5,1,0,contacted
30,management,divorced,tertiary,no,46,no,no,cellular,aug,382,3,0,0,never
48,management,married,tertiary,yes,-13,yes,no,cellular,may,20,6,2,0,contacted
35,retired,single,secondary,no,527,no,yes,,jul,348,3,0,0,never
35,self-employed,single,tertiary,no,538,yes,yes,,may,21,9,0,0,never
50,services,married,,no,37,no,no,cellular,aug,307,4,0,0,never
32,technician,single,tertiary,no,388,yes,no,cellular,aug,119,2,0,0,never
54,blue-collar,married,secondary,no,466,no,no,cellular,aug,436,4,0,0,never
49,blue-collar,single,primary,no,87,yes,no,telephone,may,162,2,0,0,never
54,management,single,tertiary,no,2419,yes,no,cellular,aug,139,2,0,0,never
41,blue-collar,married,secondary,no,-68,yes,no,,may,429,2,0,0,never
35,management,single,tertiary,no,3000,yes,no,cellular,may,162,3,0,0,never
55,,married,secondary,no,2206,no,no,cellular,aug,265,1,5,1,contacted
30,services,married,secondary,no,249,yes,no,cellular,apr,294,1,2,0,contacted
59,housemaid,divorced,primary,no,195,no,no,,may,366,2,0,0,never
54,retired,married,secondary,no,1371,no,no,telephone,jul,1492,2,0,1,never
55,management,divorced,tertiary,no,36,no,no,cellular,jul,111,2,0,0,never
28,technician,married,secondary,no,675,yes,no,cellular,apr,499,2,0,0,never
46,technician,married,secondary,no,2098,no,no,cellular,aug,110,2,0,0,never
36,management,married,secondary,no,122,yes,no,,may,39,7,0,0,never
35,services,married,secondary,no,868,no,no,cellular,feb,36,1,0,0,never
36,management,married,tertiary,no,446,yes,no,telephone,jul,174,5,0,0,never
54,management,married,tertiary,no,1258,no,no,cellular,aug,153,14,0,0,never
35,entrepreneur,married,secondary,no,313,yes,no,cellular,jul,479,1,0,0,never
37,housemaid,married,secondary,no,285,no,no,,jun,401,2,0,0,never
33,management,married,tertiary,no,806,yes,no,,jun,124,3,0,0,never
40,management,single,tertiary,no,402,yes,no,,may,243,3,0,0,never
31,unemployed,single,secondary,no,284,yes,no,cellular,feb,855,1,0,1,never
40,admin.,married,tertiary,no,1,yes,no,telephone,may,249,3,0,0,never
29,admin.,single,secondary,no,488,yes,no,cellular,jun,105,1,0,0,never
32,management,single,tertiary,no,2515,no,yes,cellular,nov,223,2,0,0,never
28,services,married,secondary,no,38,yes,no,cellular,may,16,5,3,0,contacted
32,unemployed,single,tertiary,no,99,no,no,cellular,aug,49,35,0,0,never
37,management,single,tertiary,no,509,yes,no,cellular,may,133,1,0,0,never
26,services,married,secondary,no,199,no,no,cellular,jul,139,6,0,0,never
49,unemployed,single,tertiary,no,631,no,no,cellular,feb,140,6,1,0,contacted
28,management,married,tertiary,no,17,yes,no,cellular,jul,16,2,0,0,never
29,management,married,tertiary,no,0,yes,no,cellular,may,667,2,0,1,never
22,student,single,secondary,no,330,yes,no,cellular,may,105,1,0,0,never
59,retired,married,primary,no,1425,yes,no,cellular,aug,299,3,0,0,never
55,housemaid,married,secondary,no,127,yes,no,telephone,jul,1130,8,0,1,never
25,admin.,single,tertiary,no,3730,yes,no,cellular,feb,353,1,0,1,never
57,entrepreneur,married,secondary,no,1179,no,no,cellular,aug,189,2,0,0,never
41,services,married,secondary,no,446,yes,no,cellular,nov,296,1,1,0,contacted
42,services,married,secondary,no,0,no,no,cellular,jul,194,4,0,0,never
74,retired,married,secondary,no,1714,no,no,telephone,feb,127,1,0,1,never
51,technician,married,secondary,no,371,yes,yes,cellular,oct,287,1,0,1,never
41,management,married,tertiary,no,1495,yes,no,cellular,nov,210,2,0,0,never
25,services,single,,no,342,no,no,cellular,jul,281,4,0,0,never
40,blue-collar,married,secondary,no,503,yes,yes,cellular,may,24,2,0,0,never
33,entrepreneur,married,tertiary,no,2179,yes,yes,cellular,may,217,1,2,0,contacted
31,blue-collar,married,secondary,no,298,yes,no,,may,154,3,0,0,never
33,blue-collar,divorced,primary,no,636,yes,no,cellular,jul,211,11,0,0,never
24,blue-collar,married,secondary,no,685,yes,no,,may,896,3,0,1,never
56,blue-collar,divorced,primary,no,596,no,no,,jun,123,1,0,0,never
60,management,divorced,primary,no,2694,no,no,telephone,jul,295,1,0,0,never
31,technician,married,secondary,no,54,no,no,cellular,aug,137,2,0,0,never
40,technician,divorced,secondary,no,692,yes,no,,may,58,3,0,0,never
41,services,married,,no,4,no,no,,may,284,2,0,0,never
58,management,married,tertiary,no,9683,no,no,cellular,aug,857,2,0,0,never
28,student,single,tertiary,no,170,no,no,telephone,may,16,5,0,0,never
53,blue-collar,married,primary,no,787,yes,yes,cellular,aug,119,2,0,0,never
48,technician,divorced,secondary,no,40,no,no,,may,300,3,0,0,never
41,admin.,divorced,secondary,no,2397,yes,no,,may,278,2,0,0,never
42,technician,married,tertiary,no,1397,yes,no,cellular,feb,135,7,0,0,never
45,technician,married,tertiary,no,2699,yes,no,cellular,jun,264,4,0,0,never
39,unemployed,married,primary,no,1147,yes,yes,cellular,may,232,2,5,0,contacted
47,unemployed,married,secondary,no,351,yes,yes,,may,370,1,0,0,never
41,admin.,married,secondary,no,1597,yes,no,cellular,apr,461,2,1,0,contacted
40,admin.,married,secondary,no,824,yes,no,cellular,apr,359,1,0,0,never
32,blue-collar,divorced,secondary,no,-15,yes,yes,cellular,may,132,3,0,0,never
40,entrepreneur,married,secondary,no,264,yes,no,,may,222,2,0,0,never
53,blue-collar,married,secondary,no,2047,no,no,telephone,jul,342,6,0,0,never
37,management,single,tertiary,no,410,no,no,cellular,aug,542,3,0,0,never
51,admin.,single,tertiary,no,394,no,no,telephone,jan,968,2,0,1,never
33,blue-collar,single,secondary,no,372,yes,no,,may,92,1,0,0,never
44,blue-collar,single,secondary,no,0,yes,no,cellular,may,64,2,1,0,contacted
55,retired,married,tertiary,no,127,no,no,cellular,feb,80,2,0,0,never
32,entrepreneur,married,tertiary,no,721,yes,no,cellular,may,128,1,0,0,never
27,admin.,married,secondary,no,941,yes,no,cellular,jul,124,1,0,0,never
41,unemployed,married,tertiary,no,1666,no,no,,jun,291,3,0,0,never
43,blue-collar,married,primary,no,479,yes,no,cellular,may,293,2,2,0,contacted
58,retired,single,tertiary,no,1411,yes,no,cellular,may,425,2,0,0,never
42,blue-collar,married,secondary,no,273,no,no,,jun,315,1,0,0,never
50,blue-collar,married,primary,no,2190,no,no,,jun,269,1,0,0,never
36,services,married,tertiary,no,0,yes,no,cellular,may,52,1,0,0,never
52,management,married,tertiary,no,4173,no,yes,cellular,nov,159,2,0,0,never
33,blue-collar,single,secondary,no,228,no,no,telephone,may,110,1,4,0,contacted
48,blue-collar,single,secondary,no,44,yes,no,,may,153,1,0,0,never
52,management,single,tertiary,no,2076,yes,no,,may,112,1,0,0,never
50,services,divorced,secondary,no,641,no,no,cellular,may,128,3,0,0,never
30,technician,single,secondary,no,359,yes,no,cellular,may,362,1,1,0,contacted
41,technician,married,secondary,no,64,yes,yes,,may,210,2,0,0,never
25,technician,single,secondary,no,1298,no,no,cellular,sep,206,7,2,0,contacted
58,blue-collar,married,primary,no,3,no,yes,telephone,jul,55,16,0,0,never
33,management,married,tertiary,no,188,yes,no,,may,136,1,0,0,never
41,management,married,tertiary,no,1304,yes,no,,jun,93,3,0,0,never
48,,married,,no,2261,no,no,,jun,445,3,0,0,never
39,unemployed,married,tertiary,no,529,yes,yes,cellular,nov,673,1,0,0,never
38,entrepreneur,married,secondary,no,2139,yes,no,,may,576,1,0,0,never
37,blue-collar,single,primary,no,0,yes,yes,cellular,jul,118,1,0,0,never
55,housemaid,divorced,primary,no,77,no,no,cellular,jul,463,6,0,1,never
53,technician,divorced,secondary,no,392,yes,no,cellular,jan,70,1,1,0,contacted
54,technician,married,secondary,no,65,no,no,cellular,feb,87,1,3,0,contacted
36,blue-collar,married,secondary,no,70,yes,no,,jun,100,2,0,0,never
31,blue-collar,married,secondary,no,1030,yes,no,cellular,jul,180,5,0,0,never
56,retired,married,secondary,no,450,no,no,telephone,nov,16,1,0,0,never
53,technician,divorced,tertiary,no,2228,no,no,cellular,nov,890,1,0,1,never
30,technician,single,tertiary,no,255,yes,no,,may,119,2,0,0,never
57,management,married,tertiary,no,17118,yes,no,cellular,nov,102,1,0,0,never
35,technician,married,secondary,no,-67,yes,no,cellular,jul,160,6,0,0,never
31,management,single,tertiary,no,10215,no,no,cellular,aug,139,2,0,0,never
33,unemployed,single,,no,170,yes,no,,jun,327,1,0,0,never
43,services,married,secondary,no,-392,no,yes,cellular,jul,185,1,0,0,never
33,entrepreneur,married,primary,no,2339,yes,yes,cellular,nov,220,1,0,0,never
34,blue-collar,married,secondary,no,10,yes,yes,cellular,may,196,2,1,0,contacted
35,technician,married,secondary,no,483,yes,no,cellular,jul,165,2,0,0,never
52,blue-collar,single,secondary,no,-477,no,no,cellular,jul,37,4,0,0,never
28,blue-collar,single,secondary,no,1348,yes,no,cellular,aug,221,2,0,1,never
35,management,divorced,tertiary,no,505,no,no,cellular,jul,142,1,0,0,never
37,services,single,secondary,no,43,yes,no,cellular,jul,36,2,0,0,never
57,services,divorced,primary,no,362,no,no,cellular,jan,91,1,1,0,contacted
31,technician,single,secondary,no,1170,yes,no,,jun,120,2,0,0,never
42,management,married,tertiary,no,1773,no,no,cellular,apr,311,1,1,0,contacted
37,blue-collar,single,tertiary,no,1436,yes,no,cellular,may,177,2,0,0,never
30,management,married,secondary,no,3817,yes,no,cellular,nov,104,5,0,0,never
62,management,married,secondary,no,4562,yes,no,cellular,mar,168,1,0,1,never
31,management,single,tertiary,no,0,yes,no,,may,562,1,0,0,never
27,student,single,,no,910,yes,yes,,may,77,1,0,0,never
50,management,divorced,tertiary,no,318,yes,no,,may,788,2,0,0,never
37,management,married,tertiary,no,11265,no,no,,jun,417,1,0,0,never
41,blue-collar,married,secondary,no,211,yes,no,telephone,may,546,3,4,0,contacted
44,blue-collar,married,secondary,no,1025,yes,no,,jun,200,1,0,0,never
36,technician,single,tertiary,no,670,yes,no,cellular,apr,122,1,1,0,contacted
32,technician,single,,no,491,no,no,cellular,jul,474,7,0,1,never
61,admin.,divorced,tertiary,no,89,no,no,cellular,nov,141,2,2,0,contacted
37,blue-collar,married,primary,no,1455,yes,no,,may,165,2,0,0,never
36,technician,married,primary,no,1653,yes,yes,,may,336,10,0,0,never
56,management,single,tertiary,no,3694,no,no,cellular,aug,57,4,0,0,never
26,admin.,single,tertiary,no,2053,no,no,cellular,jul,127,4,0,0,never
42,services,single,secondary,no,518,yes,no,,may,198,1,0,0,never
56,management,married,tertiary,no,616,no,no,cellular,aug,293,2,2,1,contacted
31,services,married,secondary,no,4687,yes,no,cellular,may,192,4,0,0,never
34,blue-collar,married,secondary,no,1682,yes,yes,cellular,jul,123,3,0,0,never
46,blue-collar,married,primary,no,-271,yes,no,cellular,jul,65,2,0,0,never
25,student,single,,no,277,no,no,cellular,may,311,2,0,1,never
50,,married,primary,no,1502,no,no,,jun,34,2,0,0,never
54,technician,married,secondary,no,10185,no,no,cellular,feb,251,1,3,1,contacted
30,housemaid,single,secondary,no,49,yes,no,,may,267,2,0,0,never
41,blue-collar,married,secondary,no,306,yes,no,telephone,may,86,1,2,0,contacted
58,retired,married,primary,no,590,yes,no,,may,114,2,0,0,never
34,self-employed,married,tertiary,no,191,no,no,cellular,jul,59,1,0,0,never
32,management,married,tertiary,no,2431,no,no,cellular,aug,19,19,0,0,never
57,management,married,tertiary,no,1172,no,no,,jun,26,1,0,0,never
32,technician,single,tertiary,no,13711,yes,no,cellular,may,638,1,3,0,contacted
34,unemployed,married,tertiary,no,822,no,no,,aug,11,1,0,0,never
48,blue-collar,married,secondary,no,2054,yes,no,cellular,aug,127,2,0,0,never
56,management,married,secondary,no,208,no,yes,telephone,jul,84,6,0,0,never
54,blue-collar,married,,no,6251,yes,no,,may,421,3,0,0,never
35,blue-collar,divorced,primary,no,1792,yes,no,cellular,jul,630,6,0,1,never
48,technician,married,secondary,no,7020,no,no,cellular,aug,80,2,0,0,never
29,student,married,,no,2229,no,no,,jul,25,1,1,0,contacted
35,admin.,married,primary,no,1994,no,no,cellular,jul,64,1,0,0,never
32,blue-collar,single,secondary,no,1721,yes,no,cellular,nov,184,2,2,0,contacted
37,services,married,secondary,no,20,yes,no,telephone,may,151,5,0,0,never
32,technician,single,secondary,no,90,no,no,cellular,aug,278,2,0,0,never
35,management,married,tertiary,no,867,yes,no,,jun,230,3,0,1,never
40,admin.,married,tertiary,no,1108,no,no,cellular,jan,228,1,5,0,contacted
56,unemployed,married,secondary,no,0,no,no,telephone,feb,492,1,0,1,never
29,student,single,tertiary,no,246,no,no,cellular,feb,269,1,0,0,never
26,student,single,tertiary,no,251,yes,no,cellular,may,12,5,0,0,never
48,housemaid,married,secondary,no,0,no,no,cellular,may,270,5,0,1,never
52,admin.,single,,no,872,yes,no,telephone,may,82,6,1,0,contacted
29,management,single,tertiary,no,2907,yes,no,cellular,may,150,1,0,0,never
54,blue-collar,married,primary,no,95,no,no,cellular,jul,302,1,0,0,never
35,technician,single,secondary,no,-54,yes,no,,may,70,2,0,0,never
36,blue-collar,married,secondary,no,462,no,no,cellular,jul,474,2,0,0,never
40,services,married,primary,no,352,yes,no,cellular,jul,258,1,0,0,never
23,blue-collar,single,secondary,no,9,yes,no,,may,544,1,0,0,never
31,management,married,secondary,no,-453,yes,yes,cellular,jul,157,1,0,0,never
32,technician,single,secondary,no,145,no,no,cellular,aug,135,2,0,0,never
57,blue-collar,married,,no,3585,no,no,telephone,nov,172,1,0,1,never
31,services,married,secondary,no,0,no,yes,,may,81,6,0,0,never
34,management,single,tertiary,no,0,no,no,cellular,feb,71,1,0,0,never
